1,1268,0,2,1
2,7341,0,1,1
3,0358,0,1,1
4,4530,0,1,1
5,5310,0,1,1
6,5074,2,0,1
7,4780,0,2,1
8,4635,0,1,1
9,4807,0,2,2
10,1597,0,1,2
11,8059,1,0,2
12,0832,0,2,2
13,5073,2,0,2
14,2604,1,2,2
15,7681,0,2,3
16,0258,0,2,3
17,7064,1,2,3
18,4625,0,2,3
19,4580,0,1,3
20,3710,0,2,3
21,5219,0,2,4
22,0759,0,2,4
23,0468,0,1,4
24,6312,0,2,5
25,6450,0,2,5
26,5264,0,2,5
27,0549,0,2,5
28,5421,0,2,6
29,9853,1,1,6
30,4932,0,1,6
31,2975,0,1,6
32,5781,0,2,6
33,0934,1,1,6
34,0561,2,1,6
35,9230,0,2,6
36,0513,4,0,6
37,5264,0,1,7
38,4023,1,1,7
39,7108,0,2,7
40,4271,0,1,7
41,2085,0,2,7
42,5068,0,2,7
43,9874,0,0,7
44,7935,0,2,7
45,9257,0,1,7
46,7210,2,0,8
47,0468,0,2,8
48,2517,1,0,8
49,8910,4,0,8
50,7863,4,0,9
51,5014,0,1,10
52,7086,0,2,10
53,2568,2,0,10
54,6493,1,2,10
55,3209,1,0,10
56,7496,1,1,10
57,5208,1,0,10
58,6714,0,2,10
59,9670,0,1,10
60,2364,1,2,10
61,9530,0,1,11
62,8564,1,2,11
63,6890,0,2,11
64,3468,4,0,11
65,7653,0,2,12
66,2843,0,3,12
67,0769,1,0,12
68,7529,0,0,12
69,6402,1,1,12
70,6173,0,2,12
71,4915,0,1,12
72,8521,0,1,12
73,1265,0,1,13
74,1095,0,0,13
75,9217,0,2,13
76,0378,0,3,13
77,8526,1,1,13
78,2047,0,2,13
79,7560,1,0,13
80,7438,1,2,13
81,2684,0,2,13
82,6524,1,0,13
83,3756,0,2,14
84,2490,0,1,14
85,9632,0,2,14
86,5130,0,1,14
87,7831,2,1,14
88,1374,0,2,14
89,1267,0,2,14
90,0486,0,1,14
91,2834,1,2,14
92,4382,0,3,15
93,4683,1,1,15
94,5961,0,0,15
95,6304,0,1,16
96,9230,0,1,16
97,6941,0,1,16
98,0162,0,2,16
99,7642,0,3,16
100,5170,0,1,16
101,1678,0,3,16
